Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation rate
01-10-2023,508,508,457.2,457.2,0,"3,18,724.00","14,73,60,743.60",0.0752
02-10-2023,450,457,442.1,450.9,-1.38,"2,87,052.00","12,89,64,045.30",0.0752
03-10-2023,446,450,445,446,-1.09,"1,25,451.00","5,59,70,652.00",0.0752
04-10-2023,437.1,454.2,437.1,447.7,0.38,"1,54,840.00","6,93,63,122.20",0.0752
05-10-2023,447.7,447.7,441.1,442,-1.27,"99,886.00","4,43,31,701.20",0.0752
08-10-2023,442,444,431,432.3,-2.19,"1,04,649.00","4,55,03,056.90",0.0752
09-10-2023,430,433,424.1,424.6,-1.78,"69,000.00","2,94,38,943.50",0.0752
10-10-2023,420,429.9,418,418.2,-1.51,"61,914.00","2,60,67,057.00",0.0752
11-10-2023,413.6,425,413.6,417.3,-0.22,"60,228.00","2,51,77,970.80",0.0752
12-10-2023,415.1,420,408,410,-1.75,"79,060.00","3,25,33,453.30",0.0752
16-10-2023,405.1,408,390.6,393.1,-4.12,"92,874.00","3,67,23,268.00",0.0752
17-10-2023,395,407,394.2,399,1.5,"41,125.00","1,63,58,464.30",0.0752
18-10-2023,399,409.5,396,407,2.01,"45,507.00","1,83,96,035.80",0.0752
19-10-2023,402,409.3,400.1,404,-0.74,"34,627.00","1,39,89,639.50",0.0752
29-10-2023,396.2,400,390,394,-2.48,"58,403.00","2,30,04,183.10",0.0752
30-10-2023,390,393.8,388.5,391,-0.76,"35,285.00","1,37,79,562.60",0.0752
31-10-2023,391,394,389.1,391,0,"31,696.00","1,23,96,059.50",0.0752
01-11-2023,386,395,386,389,-0.51,"38,011.00","1,48,27,242.20",0.0752
02-11-2023,381.3,389,381.3,382,-1.8,"37,752.00","1,45,03,985.10",0.0752
05-11-2023,381.3,381.3,375.2,378,-1.05,"36,349.00","1,37,09,754.00",0.0752
06-11-2023,375,387,375,383.7,1.51,"37,391.00","1,43,39,717.60",0.0752
07-11-2023,383.5,403.2,382,403,5.03,"56,868.00","2,25,91,905.50",0.0752
08-11-2023,400,413.8,397,413,2.48,"53,030.00","2,16,83,603.50",0.0752
09-11-2023,406.2,411.1,398.5,405.6,-1.79,"41,773.00","1,69,82,005.00",0.0752
20-11-2023,405,415.5,401.2,406.4,0.2,"56,840.00","2,32,47,296.80",0.0752
21-11-2023,402,406,394,396,-2.56,"46,023.00","1,83,85,221.60",0.0752
22-11-2023,389.1,409,389.1,406.2,2.58,"45,978.00","1,84,92,671.80",0.0752
23-11-2023,400.2,434,400.2,430,5.86,"1,25,720.00","5,30,44,485.00",0.0752
26-11-2023,430,455,425,453,5.35,"1,41,953.00","6,34,86,306.10",0.0752
27-11-2023,445,462,445,450,-0.66,"1,43,945.00","6,48,49,049.70",0.0752
28-11-2023,443,456,443,448.2,-0.4,"99,371.00","4,46,31,775.10",0.0752
29-11-2023,448,456,435,440,-1.83,"95,304.00","4,25,31,105.30",0.0752
30-11-2023,431.2,443.5,431.2,440,0,"66,153.00","2,90,62,164.80",0.0752
03-12-2023,435,445,434,440,0,"63,343.00","2,77,13,940.50",0.0752
04-12-2023,440,455,438.1,449.8,2.23,"1,16,797.00","5,25,29,751.80",0.0752
