Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
22-06-2023,350,381.1,350,381.1,0,"1,694.00","6,43,813.70",0.0752
25-06-2023,388.7,419.2,388.7,419.2,10,"5,728.00","24,00,285.70",0.0752
26-06-2023,420,461.1,420,461.1,10,"4,364.00","20,09,685.70",0.0752
27-06-2023,470.3,507.2,470.3,507.2,10,"24,091.00","1,21,54,377.30",0.0752
28-06-2023,517,557.9,517,557.9,10,"15,23,712.00","83,70,36,791.90",0.0752
02-07-2023,569,574,548,549,-1.6,"7,62,109.00","42,56,54,707.90",0.0752
03-07-2023,548,549,530,532,-3.1,"4,43,519.00","23,94,45,785.10",0.0752
04-07-2023,542.6,542.6,520.4,529,-0.56,"2,14,583.00","11,33,84,502.40",0.0752
05-07-2023,535,535,505,508.8,-3.82,"2,70,713.00","13,90,88,920.30",0.0752
06-07-2023,515,518,491,497,-2.32,"3,08,562.00","15,36,83,428.20",0.0752
09-07-2023,500,512.8,492,498,0.2,"3,71,250.00","18,60,72,060.00",0.0752
10-07-2023,500,510,488.1,489.8,-1.65,"5,04,920.00","24,91,86,992.70",0.0752
11-07-2023,495,502,488,490,0.04,"2,58,735.00","12,78,13,719.40",0.0752
12-07-2023,490,503,485.2,496.2,1.27,"1,86,206.00","9,23,16,248.40",0.0752
13-07-2023,500,514,498,507,2.18,"3,18,517.00","16,15,09,096.80",0.0752
16-07-2023,507,514.9,504,507,0,"3,08,820.00","15,69,45,064.50",0.0752
17-07-2023,517.1,517.1,502,516,1.78,"2,12,261.00","10,84,64,899.60",0.0752
18-07-2023,516.2,525,513,513.6,-0.47,"3,01,695.00","15,63,90,333.70",0.0752
19-07-2023,516,516,508.6,510,-0.7,"1,64,408.00","8,42,04,343.90",0.0752
20-07-2023,499.8,515,499.8,504.9,-1,"1,73,777.00","8,82,59,472.40",0.0752
23-07-2023,507,516,504,510.8,1.17,"2,06,880.00","10,54,27,189.40",0.0752
24-07-2023,508,513,500.1,500.4,-2.04,"1,93,182.00","9,75,71,138.30",0.0752
25-07-2023,500.4,504,490.4,491.8,-1.72,"1,23,003.00","6,09,02,374.40",0.0752
26-07-2023,498,499,485,487.1,-0.96,"1,42,367.00","6,97,79,438.00",0.0752
27-07-2023,490,492,478,478,-1.87,"1,73,200.00","8,36,60,573.60",0.0752
30-07-2023,478,485,468,470,-1.67,"1,15,672.00","5,46,66,317.20",0.0752
31-07-2023,473.9,481,468.6,474,0.85,"96,879.00","4,61,33,118.50",0.0752
01-08-2023,468.8,480,462.1,466,-1.69,"1,10,535.00","5,18,64,632.60",0.0752
02-08-2023,466,468.8,458.7,467.4,0.3,"88,138.00","4,07,96,851.40",0.0752
03-08-2023,473,474.9,464,468,0.13,"72,155.00","3,39,01,451.20",0.0752
06-08-2023,458.7,472.6,451,458,-2.14,"99,712.00","4,57,33,060.00",0.0752
07-08-2023,458,467,450,454,-0.87,"68,555.00","3,13,88,464.10",0.0752
08-08-2023,450.2,458,442,445,-1.98,"61,829.00","2,77,08,639.90",0.0752
09-08-2023,450,465,438.5,463.9,4.25,"1,19,634.00","5,38,11,034.20",0.0752
10-08-2023,466,468,457,457,-1.49,"79,935.00","3,70,55,597.50",0.0752
13-08-2023,457,466,454.2,462,1.09,"88,083.00","4,04,45,006.10",0.0752
14-08-2023,466,468.9,453,453.2,-1.9,"58,115.00","2,66,59,987.60",0.0752
15-08-2023,450,460,450,450.5,-0.6,"1,07,956.00","4,88,00,844.10",0.0752
16-08-2023,450,450,441.1,442.2,-1.84,"41,181.00","1,83,35,777.90",0.0752
17-08-2023,442,450.2,442,445,0.63,"64,326.00","2,87,76,153.80",0.0752
20-08-2023,440,454.9,440,443,-0.45,"63,429.00","2,82,55,365.90",0.0752
21-08-2023,444,447,438,441.9,-0.25,"47,478.00","2,09,99,790.40",0.0752
22-08-2023,442,445,437,444.9,0.68,"42,882.00","1,89,41,508.90",0.0752
23-08-2023,441,459,441,453,1.82,"84,462.00","3,82,03,107.90",0.0752
24-08-2023,451,456,440.6,442,-2.43,"74,208.00","3,32,72,284.90",0.0752
