Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
6/8/2023,529.5,582.4,529.5,582.4,9.99,"54,780.00","3,18,83,777.50",0.0752
7/8/2023,594,640.6,594,616,5.77,"7,01,803.00","43,62,59,348.00",0.0752
8/8/2023,616,619,585,589,-4.38,"2,99,597.00","17,89,32,202.60",0.0752
9/8/2023,598,600.7,571.2,597.3,1.41,"2,66,818.00","15,50,26,202.20",0.0752
10/8/2023,604,609,583,590,-1.22,"1,41,998.00","8,40,78,844.80",0.0752
13-08-2023,590,595,580,580.8,-1.56,"1,82,198.00","10,61,95,208.60",0.0752
14-08-2023,569.2,596.8,569.2,589.9,1.57,"1,91,385.00","11,24,41,979.60",0.0752
15-08-2023,600,600,580.3,581,-1.51,"98,939.00","5,77,75,243.80",0.0752
16-08-2023,580,585,575.2,576.9,-0.71,"1,03,174.00","5,96,62,670.30",0.0752
17-08-2023,575,590,571,583.1,1.07,"1,33,203.00","7,79,41,378.10",0.0752
20-08-2023,583,585,578,580,-0.53,"1,14,230.00","6,63,01,070.70",0.0752
21-08-2023,580,582.9,572.1,577,-0.52,"1,01,241.00","5,83,77,288.50",0.0752
22-08-2023,567,579,567,576,-0.17,"61,149.00","3,51,15,293.50",0.0752
23-08-2023,575,585,574,579.1,0.54,"94,254.00","5,46,42,813.70",0.0752
24-08-2023,580,590,570,570.2,-1.54,"85,739.00","4,92,48,761.40",0.0752
27-08-2023,570,570,555,558,-2.14,"97,116.00","5,45,17,226.70",0.0752
28-08-2023,551.1,564,551.1,554.5,-0.63,"69,132.00","3,84,88,289.20",0.0752
29-08-2023,554,558,550,550.9,-0.65,"58,882.00","3,24,75,795.10",0.0752
30-08-2023,548,554,548,549.2,-0.31,"60,855.00","3,35,61,227.80",0.0752
3/9/2023,550,553,541,541.3,-1.44,"69,096.00","3,76,41,946.10",0.0752
4/9/2023,540,559,540,559,3.27,"96,212.00","5,28,84,032.50",0.0752
5/9/2023,559,560,552,556.4,-0.47,"50,793.00","2,82,41,754.20",0.0752
7/9/2023,551.1,551.1,544.3,545.5,-1.96,"57,647.00","3,14,88,083.10",0.0752
10/9/2023,540.1,549.9,535.6,538.8,-1.23,"72,788.00","3,93,31,365.60",0.0752
11/9/2023,528.2,552,528.2,550,2.08,"63,895.00","3,49,30,948.30",0.0752
12/9/2023,539.6,566,539.6,541.2,-1.6,"60,371.00","3,29,91,921.10",0.0752
13-09-2023,540,555.3,540,554,2.37,"70,531.00","3,88,24,316.60",0.0752
17-09-2023,553,555,535.3,536,-3.25,"86,027.00","4,65,86,887.90",0.0752
18-09-2023,535,540,530,540,0.75,"45,272.00","2,42,06,897.00",0.0752
19-09-2023,531,540,531,537,-0.56,"42,969.00","2,30,16,831.40",0.0752
21-09-2023,540,554,538.1,543.2,1.15,"1,07,149.00","5,84,27,180.30",0.0752
24-09-2023,545,545,531.1,531.5,-2.15,"54,688.00","2,93,46,959.70",0.0752
25-09-2023,531,539.9,530.1,530.3,-0.23,"45,640.00","2,43,24,519.70",0.0752
26-09-2023,535,540.8,533.1,538,1.45,"51,509.00","2,76,91,630.20",0.0752
27-09-2023,534,545,530.6,532.5,-1.02,"46,183.00","2,46,13,696.90",0.0752
1/10/2023,530,531,516.3,520.1,-2.33,"68,794.00","3,59,20,377.00",0.0752
2/10/2023,515,522,511,514,-1.17,"50,083.00","2,57,61,547.50",0.0752
3/10/2023,513,514,505,506,-1.56,"35,796.00","1,82,09,584.10",0.0752
4/10/2023,508,518,507,510,0.79,"44,037.00","2,24,93,579.10",0.0752
5/10/2023,507,510.5,502,503.3,-1.31,"36,244.00","1,83,37,140.10",0.0752
8/10/2023,500,504.5,484.1,486,-3.44,"85,829.00","4,20,50,442.30",0.0752
9/10/2023,480,494,477.3,481,-1.03,"42,793.00","2,06,63,593.20",0.0752
10/10/2023,481,490,476,477,-0.83,"31,208.00","1,49,46,842.50",0.0752
11/10/2023,475,483,472.5,480.2,0.67,"36,280.00","1,73,71,946.60",0.0752
12/10/2023,475.5,483,473.1,480.9,0.15,"50,497.00","2,41,25,533.00",0.0752
16-10-2023,473.2,480,460.6,467.1,-2.87,"61,593.00","2,87,83,902.70",0.0752
17-10-2023,467.1,484.5,463.3,484.5,3.73,"42,542.00","2,01,22,737.50",0.0752
18-10-2023,475.1,494,475.1,489.5,1.03,"49,828.00","2,42,77,088.30",0.0752
19-10-2023,489.1,497.6,481.3,485.2,-0.88,"47,462.00","2,31,46,459.50",0.0752
29-10-2023,485,485,469,470.2,-3.09,"24,923.00","1,17,35,062.50",0.0752
30-10-2023,470,471,461.5,468,-0.47,"15,882.00","73,90,878.10",0.0752
31-10-2023,465,469,461.1,462.1,-1.26,"18,484.00","85,66,266.50",0.0752
1/11/2023,460.6,466,459.1,460,-0.45,"17,431.00","80,36,033.70",0.0752
2/11/2023,452.2,474.3,450,452,-1.74,"27,479.00","1,24,78,078.40",0.0752
5/11/2023,446,453,444,452,0,"31,593.00","1,41,37,640.10",0.0752
6/11/2023,446.1,461,446.1,456.8,1.06,"24,440.00","1,11,60,394.00",0.0752
7/11/2023,451,468.2,451,465.1,1.82,"30,656.00","1,41,27,082.50",0.0752
8/11/2023,465,474,458,469.5,0.95,"33,311.00","1,55,85,102.90",0.0752
9/11/2023,463,478.8,463,465.1,-0.94,"24,362.00","1,13,56,102.40",0.0752
20-11-2023,465,479,460.1,464,-0.24,"24,427.00","1,14,30,407.30",0.0752
21-11-2023,470,473,456.7,458.7,-1.14,"27,383.00","1,25,78,802.90",0.0752
22-11-2023,455,468,450.3,467.7,1.96,"20,892.00","96,29,710.00",0.0752
23-11-2023,464,492,460.2,487,4.13,"55,355.00","2,67,04,522.10",0.0752
26-11-2023,490,525,482.1,522,7.19,"1,17,199.00","5,98,83,524.20",0.0752
27-11-2023,515,532,508.2,518,-0.77,"66,185.00","3,41,81,779.30",0.0752
28-11-2023,510,524.1,509,518,0,"58,658.00","3,02,91,956.50",0.0752
29-11-2023,510,520,500,503.7,-2.76,"51,413.00","2,61,02,720.20",0.0752
30-11-2023,493.7,509,493.7,497.1,-1.31,"53,957.00","2,68,88,359.70",0.0752
3/12/2023,497,500,491,499,0.38,"25,353.00","1,25,39,378.80",0.0752
4/12/2023,500,515,500,507,1.6,"45,529.00","2,31,77,932.00",0.0752
5/12/2023,517.1,520,503,509.9,0.57,"61,770.00","3,15,68,578.40",0.0752
6/12/2023,509,523,503,518,1.59,"1,03,901.00","5,37,70,226.30",0.0752
7/12/2023,507.7,525,506.7,517.2,-0.15,"76,850.00","3,97,43,886.00",0.0752
10/12/2023,527.5,549,527.5,546,5.57,"19,162.00","1,04,36,308.80",0.0752
11/12/2023,556,556,525,536,-1.83,"1,83,632.00","9,88,98,157.90",0.0752
12/12/2023,531,562,531,550,2.61,"1,48,771.00","8,22,85,102.20",0.0752
13-12-2023,550,561.9,534.4,540.1,-1.8,"1,18,829.00","6,50,70,126.40",0.0752
14-12-2023,550.9,563,541,556,2.94,"1,40,009.00","7,75,84,312.60",0.0752
17-12-2023,544.9,567,535,565.1,1.64,"1,55,096.00","8,63,21,618.50",0.0752
18-12-2023,565.1,577,558,565,-0.02,"98,920.00","5,62,97,686.40",0.0752
19-12-2023,570,596,560.5,588,4.07,"1,43,050.00","8,21,39,691.00",0.0752
