Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
20-03-2011,621,620,620,620,0,10,"6,200.00",0.0923
24-03-2011,620,630,630,630,0,40,"25,200.00",0.0923
29-03-2011,630,630,618,618,0,220,"1,38,480.00",0.0923
30-03-2011,618,607,606,606,0,200,"1,21,300.00",0.0923
31-03-2011,606,600,600,600,0,100,"60,000.00",0.0923
19-04-2011,600,609,588,588,0,270,"1,62,400.00",0.0923
20-04-2011,588,577,556,556,0,200,"1,13,320.00",0.0923
21-04-2011,556,554,545,554,0,140,"77,200.00",0.0923
25-04-2011,554,550,550,550,0,20,"11,000.00",0.0923
02-05-2011,550,550,545,545,0,540,"2,94,350.00",0.0923
03-05-2011,545,535,535,535,0,10,"5,350.00",0.0923
05-05-2011,535,525,525,525,0,"3,500.00","18,37,500.00",0.0923
08-05-2011,525,520,520,520,0,"2,530.00","13,15,600.00",0.0923
10-05-2011,520,520,520,520,0,450,"2,34,000.00",0.0923
11-05-2011,520,510,500,500,0,150,"75,500.00",0.0923
15-05-2011,500,510,510,510,0,10,"5,100.00",0.0923
19-05-2011,510,500,500,500,0,100,"50,000.00",0.0923
22-05-2011,500,492,490,492,0,70,"34,370.00",0.0923
23-05-2011,492,490,481,490,0,120,"58,400.00",0.0923
30-05-2011,490,490,490,490,0,10,"4,900.00",0.0923
02-06-2011,490,484,484,484,0,20,"9,680.00",0.0923
06-06-2011,484,484,475,475,0,30,"14,340.00",0.0923
13-06-2011,475,466,466,466,0,"1,870.00","8,71,420.00",0.0923
15-06-2011,466,457,448,448,0,30,"13,530.00",0.0923
16-06-2011,448,448,448,448,0,800,"3,58,400.00",0.0923
21-06-2011,448,480,445,480,0,60,"27,560.00",0.0923
30-06-2011,480,480,480,480,0,70,"33,600.00",0.0923
03-07-2011,480,480,453,453,0,40,"18,660.00",0.0923
04-07-2011,453,445,430,430,0,"4,550.00","19,59,350.00",0.0923
05-07-2011,430,430,430,430,0,10,"4,300.00",0.0923
10-07-2011,430,428,425,428,0,70,"29,810.00",0.0923
11-07-2011,428,415,407,415,0,340,"1,38,460.00",0.0923
17-07-2011,415,439,423,439,0,50,"21,550.00",0.0923
19-07-2011,439,431,431,431,0,20,"8,620.00",0.0923
20-07-2011,431,466,439,466,0,220,"1,00,790.00",0.0923
24-07-2011,466,475,475,475,0,10,"4,750.00",0.0923
25-07-2011,475,484,475,484,0,30,"14,340.00",0.0923
26-07-2011,484,486,486,486,0,10,"4,860.00",0.0923
28-07-2011,486,481,481,481,0,50,"24,050.00",0.0923
01-08-2011,481,499,490,499,0,20,"9,890.00",0.0923
02-08-2011,499,528,508,528,0,70,"36,660.00",0.0923
03-08-2011,528,538,538,538,0,50,"26,900.00",0.0923
04-08-2011,538,548,538,548,0,520,"2,79,870.00",0.0923
07-08-2011,548,550,548,550,0,40,"21,960.00",0.0923
09-08-2011,550,561,550,561,0,650,"3,63,650.00",0.0923
10-08-2011,561,572,562,562,0,640,"3,65,380.00",0.0923
17-08-2011,562,565,565,565,0,70,"39,550.00",0.0923
22-08-2011,565,554,533,543,0,550,"2,94,990.00",0.0923
23-08-2011,543,543,543,543,0,40,"21,720.00",0.0923
28-08-2011,543,545,543,545,0,210,"1,14,210.00",0.0923
30-08-2011,545,545,545,545,0,10,"5,450.00",0.0923
01-09-2011,545,545,545,545,0,430,"2,34,350.00",0.0923
06-09-2011,545,535,525,525,0,70,"36,950.00",0.0923
29-09-2011,525,535,515,535,0,200,"1,05,800.00",0.0923
09-10-2011,535,535,535,535,0,60,"32,100.00",0.0923
12-10-2011,535,550,540,550,0,210,"1,15,400.00",0.0923
