Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
25-03-2011,325,319,307,307,0,"2,726.00","8,46,938.00",0.0923
27-03-2011,307,301,301,301,0,544,"1,63,744.00",0.0923
28-03-2011,301,295,295,295,0,66,"19,470.00",0.0923
30-03-2011,295,290,290,290,0,158,"45,820.00",0.0923
31-03-2011,290,300,295,298,0,"2,09,645.00","6,28,90,848.00",0.0923
4/4/2011,298,300,300,300,0,132,"39,600.00",0.0923
5/4/2011,300,294,294,294,0,66,"19,404.00",0.0923
6/4/2011,294,289,289,289,0,45,"13,005.00",0.0923
7/4/2011,289,284,284,284,0,15,"4,260.00",0.0923
19-04-2011,284,279,279,279,0,15,"4,185.00",0.0923
20-04-2011,279,284,284,284,0,494,"1,40,296.00",0.0923
21-04-2011,284,280,280,280,0,979,"2,74,120.00",0.0923
27-04-2011,280,275,270,270,0,"1,346.00","3,64,650.00",0.0923
2/5/2011,270,265,255,255,0,"1,363.00","3,48,385.00",0.0923
5/5/2011,255,255,255,255,0,"1,190.00","3,03,450.00",0.0923
12/5/2011,255,260,260,260,0,450,"1,17,000.00",0.0923
15-05-2011,260,270,265,270,0,467,"1,24,605.00",0.0923
19-05-2011,270,270,270,270,0,"1,545.00","4,17,150.00",0.0923
22-05-2011,270,273,273,273,0,15,"4,095.00",0.0923
23-05-2011,273,278,273,273,0,165,"45,395.00",0.0923
24-05-2011,273,268,268,268,0,228,"61,104.00",0.0923
25-05-2011,268,273,268,268,0,283,"76,284.00",0.0923
26-05-2011,268,278,273,278,0,299,"82,427.00",0.0923
30-05-2011,278,289,274,289,0,355,"99,775.00",0.0923
31-05-2011,289,304,294,304,0,333,"99,238.00",0.0923
1/6/2011,304,328,310,328,0,595,"1,89,128.00",0.0923
2/6/2011,328,346,330,346,0,"1,079.00","3,65,048.00",0.0923
5/6/2011,346,340,340,340,0,10,"3,400.00",0.0923
21-06-2011,328,328,322,328,0,222,"71,616.00",0.0923
10/7/2011,328,334,334,334,0,144,"48,096.00",0.0923
24-07-2011,334,328,322,322,0,70,"22,630.00",0.0923
27-07-2011,322,316,310,310,0,110,"34,460.00",0.0923
28-07-2011,310,304,298,298,0,330,"99,528.00",0.0923
1/8/2011,298,298,293,298,0,314,"92,252.00",0.0923
2/8/2011,298,293,288,288,0,121,"35,123.00",0.0923
3/8/2011,288,289,289,289,0,40,"11,560.00",0.0923
7/8/2011,289,285,285,285,0,225,"64,125.00",0.0923
11/8/2011,285,285,285,285,0,55,"15,675.00",0.0923
16-08-2011,285,280,280,280,0,"7,000.00","19,60,000.00",0.0923
22-08-2011,280,280,280,280,0,"20,600.00","57,68,000.00",0.0923
24-08-2011,280,285,285,285,0,132,"37,620.00",0.0923
25-08-2011,285,290,290,290,0,277,"80,330.00",0.0923
28-08-2011,290,290,290,290,0,264,"76,560.00",0.0923
29-08-2011,290,285,285,285,0,30,"8,550.00",0.0923
4/9/2011,285,280,280,280,0,20,"5,600.00",0.0923
6/9/2011,280,306,285,306,0,366,"1,08,786.00",0.0923
7/9/2011,306,336,312,336,0,"1,103.00","3,57,474.00",0.0923
8/9/2011,336,369,330,369,0,"2,917.00","9,88,493.00",0.0923
12/9/2011,369,362,342,342,0,335,"1,17,150.00",0.0923
19-09-2011,342,336,324,324,0,267,"87,570.00",0.0923
20-09-2011,324,330,318,330,0,729,"2,36,940.00",0.0923
