Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
19-12-2023,598,598,542,589,0,"81,779.00","4,63,28,067.80",0.0752
20-12-2023,589,647.8,515,613.9,4.23,"58,536.00","3,54,32,619.50",0.0752
21-12-2023,615,617,585,601.8,-1.97,"23,695.00","1,41,35,698.20",0.0752
24-12-2023,610,620,573,590,-1.96,"66,610.00","3,99,62,240.50",0.0752
27-12-2023,590,617,588.3,601,1.86,"48,433.00","2,92,42,889.10",0.0752
28-12-2023,590,623.7,590,623.7,3.78,"47,088.00","2,86,14,414.50",0.0752
1/1/2024,612,624,596.1,598,-4.12,"38,801.00","2,34,76,972.80",0.0752
2/1/2024,598,598,575,575.9,-3.7,"11,352.00","66,05,156.10",0.0752
3/1/2024,587,587,557.3,577,0.19,"14,011.00","79,53,395.70",0.0752
4/1/2024,582.4,597,565,579,0.35,"18,865.00","1,08,24,921.40",0.0752
7/1/2024,567.5,579,556.7,557,-3.8,"13,668.00","77,09,400.60",0.0752
8/1/2024,557,588.8,556,578.3,3.82,"13,638.00","77,89,478.00",0.0752
9/1/2024,580,596,565,569,-1.61,"16,183.00","93,19,918.20",0.0752
10/1/2024,558,600,558,565,-0.7,"8,167.00","46,49,795.30",0.0752
11/1/2024,555,577.4,553.7,568,0.53,"17,710.00","99,99,809.70",0.0752
14-01-2024,565,575,560,564,-0.7,"10,130.00","57,41,639.70",0.0752
16-01-2024,575,575.2,565,571,1.24,"20,930.00","1,19,13,878.30",0.0752
17-01-2024,579.5,580,561.2,569,-0.35,"20,555.00","1,17,20,546.70",0.0752
1/18/2024,558,580.3,558,568,-0.18,"22,940.00","13,000,376.10",0.0752
1/21/2024,560,571,557.6,557.6,-1.83,"22,047.00","12,464,603.80",0.0752
1/22/2024,547,568.7,547,547.5,-1.81,"11,332.00","6,275,144.90",0.0752
1/23/2024,542,558.4,535,540,-1.37,"11,015.00","5,961,191.60",0.0752
1/24/2024,530.1,561,529,529,-2.04,"13,505.00","7,258,711.40",0.0752
1/25/2024,539,539.5,525,530,0.19,"12,910.00","6,821,789.20",0.0752
1/28/2024,530,539.5,526,534,0.75,"5,933.00","3,151,789.30",0.0752
1/29/2024,526.2,545,526.2,544,1.87,"10,469.00","5,614,887.00",0.0752
1/30/2024,541,561.8,541,554,1.84,"15,896.00","8,793,620.00",0.0752
1/31/2024,550,554,531,538,-2.89,"11,111.00","6,029,756.00",0.0752
2/1/2024,528.1,535,525,525,-2.42,"14,113.00","7,463,508.00",0.0752
2/4/2024,525,525,516.1,516.1,-1.7,"10,730.00","5,570,828.20",0.0752
2/5/2024,510.1,535,510,524,1.53,"8,817.00","4,594,534.30",0.0752
2/6/2024,530,534.4,515,525,0.19,"9,077.00","4,767,455.00",0.0752
2/7/2024,533,535.4,525,529.9,0.93,"11,985.00","6,336,830.50",0.0752
2/8/2024,521.3,535,521.3,526,-0.74,"9,429.00","4,976,215.20",0.0752
2/11/2024,525,534,518,526,0,"9,878.00","5,192,605.70",0.0752
2/12/2024,526,530,523,528.1,0.4,"8,757.00","4,612,472.40",0.0752
2/13/2024,520,529,518,525,-0.59,"11,201.00","5,840,294.80",0.0752
2/14/2024,514.5,528,514.5,523,-0.38,"5,802.00","3,027,037.10",0.0752
2/15/2024,517.2,523,511,518,-0.96,"6,932.00","3,588,826.90",0.0752
2/18/2024,508.9,530,508.9,514,-0.77,"9,705.00","4,967,724.30",0.0752
2/20/2024,510,515,510,514,0,"6,900.00","3,535,517.60",0.0752
2/21/2024,515,524,508,514,0,"8,831.00","4,544,948.00",0.0752
2/22/2024,506.5,520,505,510,-0.78,"6,806.00","3,467,436.40",0.0752
