Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
25-01-2023,379,408.7,379,408.7,9.99,"1,965.00","8,00,489.60",0.0752
26-01-2023,416.8,449.5,416.8,449.5,9.98,"1,160.00","5,15,974.00",0.0752
29-01-2023,458.4,494.4,458.4,494.4,9.99,"1,815.00","8,94,162.10",0.0752
30-01-2023,504.2,543.8,504.2,519.8,5.14,"3,32,697.00","17,65,40,086.60",0.0752
31-01-2023,525,525,502,509.1,-2.06,"1,32,067.00","6,71,35,356.60",0.0752
1/2/2023,503.5,512.9,500.2,505,-0.81,"38,506.00","1,94,55,974.10",0.0752
2/2/2023,512,512,490.2,495,-1.98,"53,653.00","2,66,32,738.30",0.0752
5/2/2023,500,503,490,490.3,-0.95,"45,585.00","2,25,92,256.70",0.0752
6/2/2023,490,491.9,481.2,483,-1.49,"28,038.00","1,36,09,416.70",0.0752
7/2/2023,480,509.4,480,507,4.97,"50,596.00","2,52,16,231.80",0.0752
8/2/2023,517.1,519,503.8,503.8,-0.63,"51,613.00","2,63,72,943.10",0.0752
9/2/2023,500,509,500,506,0.44,"27,221.00","1,36,96,291.40",0.0752
12/2/2023,495.9,504,487,491.3,-2.91,"40,248.00","1,98,81,638.00",0.0752
14-02-2023,490,495,487,488.1,-0.65,"36,181.00","1,77,21,487.80",0.0752
15-02-2023,494.9,494.9,486,487,-0.23,"28,795.00","1,40,81,006.60",0.0752
16-02-2023,485,489.8,480.4,481.2,-1.19,"28,057.00","1,35,67,725.80",0.0752
20-02-2023,480,487.9,480,486,1,"23,780.00","1,14,80,410.60",0.0752
22-02-2023,493,503.8,485.1,496.2,2.1,"33,192.00","1,64,16,565.30",0.0752
23-02-2023,491.1,494.9,483,485.1,-2.24,"36,749.00","1,79,28,977.20",0.0752
26-02-2023,477,490,462,489,0.8,"49,016.00","2,35,22,808.50",0.0752
27-02-2023,493,493,477.6,491,0.41,"27,603.00","1,33,71,533.90",0.0752
28-02-2023,493,493,481.3,485,-1.22,"21,115.00","1,03,03,848.50",0.0752
1/3/2023,484,487,477.2,477.2,-1.61,"23,740.00","1,14,05,793.20",0.0752
2/3/2023,471,476,467,467,-2.14,"36,071.00","1,69,27,049.20",0.0752
5/3/2023,471,475.7,461.3,462,-1.07,"22,983.00","1,06,72,185.20",0.0752
7/3/2023,462,472,460,467,1.08,"17,078.00","79,79,467.70",0.0752
9/3/2023,474,479.9,470.1,478.8,2.53,"16,104.00","76,39,464.40",0.0752
12/3/2023,486.5,487,471,471,-1.63,"32,283.00","1,54,09,199.20",0.0752
13-03-2023,465.1,479,461.6,463,-1.7,"18,443.00","86,17,762.00",0.0752
14-03-2023,462,469,457,464,0.22,"24,178.00","1,11,54,293.00",0.0752
15-03-2023,464,468,450,452.1,-2.56,"81,950.00","3,71,32,630.50",0.0752
16-03-2023,443.1,456,443.1,451,-0.24,"19,060.00","85,87,511.20",0.0752
19-03-2023,452.1,452.1,444,444.1,-1.53,"14,015.00","62,48,483.60",0.0752
20-03-2023,444.2,455,444.2,448.1,0.9,"17,402.00","78,05,998.10",0.0752
22-03-2023,457,457,442,442.1,-1.34,"25,796.00","1,15,99,001.10",0.0752
23-03-2023,445,448,440.1,441.3,-0.18,"12,334.00","54,52,913.30",0.0752
26-03-2023,445,445,433,434,-1.65,"14,276.00","62,25,203.40",0.0752
27-03-2023,427,448,427,443.8,2.26,"15,945.00","69,62,166.50",0.0752
28-03-2023,443.1,450.9,443,448,0.95,"17,472.00","78,20,230.50",0.0752
29-03-2023,441.1,446.9,434,434,-3.13,"23,434.00","1,02,95,781.20",0.0752
30-03-2023,440,447.9,434,436,0.46,"16,104.00","70,71,405.00",0.0752
2/4/2023,444,452,432.7,436.9,0.21,"15,253.00","66,63,819.80",0.0752
3/4/2023,430.1,436,429,431.5,-1.24,"12,510.00","54,01,206.10",0.0752
4/4/2023,438.5,438.5,426.1,427,-1.04,"26,860.00","1,15,27,622.70",0.0752
5/4/2023,425.1,432,425,429.5,0.59,"10,607.00","45,44,193.90",0.0752
6/4/2023,435,435,428.7,429,-0.12,"14,437.00","62,19,858.70",0.0752
9/4/2023,422,430.4,416.1,420,-2.1,"17,906.00","75,30,628.30",0.0752
10/4/2023,422,424.9,418.1,421,0.24,"19,816.00","83,54,150.00",0.0752
11/4/2023,429.3,429.3,419.1,420,-0.24,"15,180.00","64,09,323.60",0.0752
12/4/2023,425,442,425,442,5.24,"26,548.00","1,16,06,705.10",0.0752
13-04-2023,445,449,430,434,-1.81,"21,156.00","92,93,264.30",0.0752
16-04-2023,434,440,431.2,437,0.69,"9,753.00","42,39,754.30",0.0752
17-04-2023,440,440,427,430,-1.6,"13,087.00","56,36,052.10",0.0752
18-04-2023,433,433,424.3,426,-0.93,"8,893.00","37,89,184.10",0.0752
19-04-2023,425.1,435,425.1,435,2.11,"8,040.00","34,72,550.60",0.0752
20-04-2023,431,435,427,429,-1.38,"7,451.00","31,93,190.20",0.0752
23-04-2023,424,432,421,426.6,-0.56,"12,449.00","52,59,790.30",0.0752
24-04-2023,427,429.9,421,426,-0.14,"32,052.00","1,35,68,523.20",0.0752
25-04-2023,421.1,430,420,428.3,0.54,"25,233.00","1,06,94,651.40",0.0752
26-04-2023,425.1,432.4,425,425.1,-0.75,"8,705.00","37,15,375.10",0.0752
27-04-2023,425.1,427.9,420,422,-0.73,"18,761.00","79,14,831.40",0.0752
30-04-2023,422,424.5,415,420.8,-0.28,"14,085.00","58,88,746.50",0.0752
2/5/2023,423.9,424.9,416.1,420,-0.19,"11,669.00","48,86,571.60",0.0752
3/5/2023,414,419,414,417.9,-0.5,"6,099.00","25,36,214.70",0.0752
4/5/2023,423,434.7,417.1,420.2,0.55,"13,563.00","57,66,087.70",0.0752
7/5/2023,415,422.8,415,418,-0.52,"8,140.00","33,90,427.00",0.0752
8/5/2023,415.2,417,412.4,415.5,-0.6,"12,442.00","51,53,755.40",0.0752
9/5/2023,411.2,423,411.2,417,0.36,"13,401.00","55,94,955.80",0.0752
10/5/2023,415,418,414.1,414.1,-0.7,"7,875.00","32,70,781.10",0.0752
11/5/2023,408.1,418,408,414.9,0.19,"7,217.00","29,88,374.80",0.0752
14-05-2023,419,424,410,414,-0.22,"15,570.00","64,74,892.90",0.0752
15-05-2023,412,414.9,409.1,414,0,"15,168.00","62,43,732.00",0.0752
16-05-2023,412,421.7,407.1,411,-0.72,"12,355.00","51,04,505.80",0.0752
17-05-2023,418.9,424.8,413,423,2.92,"16,646.00","69,91,241.20",0.0752
18-05-2023,423,435.9,423,434,2.6,"27,250.00","1,17,34,620.30",0.0752
21-05-2023,435,445.9,430.3,433,-0.23,"36,575.00","1,59,72,215.20",0.0752
22-05-2023,430,446,426.4,445.8,2.96,"56,040.00","2,44,25,177.00",0.0752
23-05-2023,449.9,468,445,464.5,4.19,"1,11,353.00","5,10,85,490.10",0.0752
24-05-2023,466,474.7,455.5,471,1.4,"26,524.00","1,24,08,898.30",0.0752
28-05-2023,479.8,480.3,460,460.9,-2.14,"66,673.00","3,11,09,827.90",0.0752
30-05-2023,452,455,438,444,-3.67,"65,840.00","2,92,15,612.70",0.0752
31-05-2023,437,446,422.4,425,-4.28,"60,660.00","2,61,84,152.00",0.0752
1/6/2023,433.5,440,417,434.6,2.26,"33,276.00","1,43,83,865.30",0.0752
4/6/2023,443,460,443,454,4.46,"28,019.00","1,27,13,063.80",0.0752
5/6/2023,455,460,445.1,447,-1.54,"39,404.00","1,77,92,738.50",0.0752
6/6/2023,444,465,441,461,3.13,"53,478.00","2,44,11,849.10",0.0752
