Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
21-09-2023,475.2,522.7,455,470,-1.09,"4,31,850.00","20,18,36,483.50",0.0752
24-09-2023,470,470,455.1,455.9,-3,"2,11,689.00","9,73,61,752.60",0.0752
25-09-2023,460,466,451,459,0.68,"1,67,319.00","7,68,96,604.50",0.0752
26-09-2023,460,484,460,478.1,4.16,"1,60,361.00","7,53,62,100.30",0.0752
27-09-2023,471,487.5,471,481,0.61,"1,59,205.00","7,62,23,732.00",0.0752
1/10/2023,480,480,463,464.2,-3.49,"1,28,400.00","6,03,53,988.90",0.0752
2/10/2023,465,470.2,456.1,466.1,0.41,"82,567.00","3,83,07,433.70",0.0752
3/10/2023,464,473.2,460.1,464,-0.45,"68,260.00","3,17,32,945.50",0.0752
4/10/2023,455,473,455,468.3,0.93,"64,354.00","3,01,30,765.60",0.0752
5/10/2023,461,470,461,463.6,-1,"65,177.00","3,03,30,490.10",0.0752
8/10/2023,463,463,453.1,458,-1.21,"90,905.00","4,16,21,614.50",0.0752
9/10/2023,452,460,450,454,-0.87,"41,905.00","1,89,76,790.50",0.0752
10/10/2023,450,459,447.2,448,-1.32,"42,185.00","1,89,42,476.00",0.0752
11/10/2023,456.9,457,445,448.2,0.04,"38,735.00","1,73,54,144.50",0.0752
12/10/2023,445,450,440,440,-1.83,"45,122.00","1,99,74,236.20",0.0752
16-10-2023,431.2,440,420,422,-4.09,"48,515.00","2,06,76,742.50",0.0752
17-10-2023,420,435,418.1,418.9,-0.73,"25,545.00","1,07,78,650.80",0.0752
18-10-2023,418.9,433,415,426.5,1.81,"23,475.00","1,00,25,237.00",0.0752
19-10-2023,427,432,421,425.4,-0.26,"19,097.00","81,44,657.10",0.0752
29-10-2023,416.9,424,415.5,417.4,-1.88,"26,553.00","1,11,01,423.30",0.0752
30-10-2023,410.3,424,409.2,413,-1.05,"26,551.00","1,09,87,539.00",0.0752
31-10-2023,413,416,408.1,411,-0.48,"20,915.00","86,14,019.00",0.0752
1/11/2023,410,417,409,409.5,-0.36,"18,526.00","76,31,345.00",0.0752
2/11/2023,409,412,402.6,404,-1.34,"17,585.00","71,37,178.50",0.0752
5/11/2023,398.2,404,397,401.1,-0.72,"17,804.00","71,15,186.00",0.0752
6/11/2023,396.2,410.7,396.1,409.9,2.19,"23,605.00","95,72,478.40",0.0752
7/11/2023,403.5,427.9,403.5,424,3.44,"28,324.00","1,18,38,154.90",0.0752
8/11/2023,420,438,416.1,431.2,1.7,"38,519.00","1,65,90,841.80",0.0752
9/11/2023,438.5,438.5,423.2,426.8,-1.02,"24,638.00","1,05,18,958.50",0.0752
20-11-2023,428.1,446,428.1,436,2.16,"47,505.00","2,08,43,533.50",0.0752
21-11-2023,433,444,429,433,-0.69,"29,357.00","1,27,50,066.70",0.0752
22-11-2023,425,442,425,442,2.08,"27,128.00","1,18,23,614.50",0.0752
23-11-2023,436.1,460,436.1,455.1,2.96,"59,825.00","2,71,21,420.60",0.0752
26-11-2023,452,480,452,476,4.59,"1,07,101.00","5,05,66,288.20",0.0752
27-11-2023,467,482,465,468.5,-1.58,"94,185.00","4,44,01,119.00",0.0752
28-11-2023,460.5,477.3,460,472,0.75,"57,079.00","2,68,64,994.80",0.0752
29-11-2023,466.5,476,462,462.1,-2.1,"50,678.00","2,37,30,963.90",0.0752
30-11-2023,462.1,468.1,455,463,0.19,"43,950.00","2,03,30,500.10",0.0752
3/12/2023,465,471,455,465.1,0.45,"39,928.00","1,84,19,648.00",0.0752
4/12/2023,465,485,461.2,473,1.7,"89,450.00","4,26,12,480.60",0.0752
5/12/2023,482.4,492,476.5,478.9,1.25,"1,03,834.00","5,03,09,370.90",0.0752
6/12/2023,475,505,475,504,5.24,"1,47,396.00","7,30,12,938.80",0.0752
7/12/2023,503,510,490.3,494.1,-1.96,"1,32,021.00","6,56,19,671.50",0.0752
10/12/2023,503.9,520,503,516,4.43,"34,002.00","1,75,24,929.00",0.0752
11/12/2023,520,520.2,500,513.7,-0.45,"2,24,451.00","11,47,38,035.40",0.0752
12/12/2023,513,546.7,511,545,6.09,"1,67,790.00","8,97,17,131.40",0.0752
13-12-2023,545,552.9,531,535.9,-1.67,"1,35,643.00","7,32,93,873.30",0.0752
14-12-2023,531.2,538,526,530,-1.1,"84,440.00","4,48,99,004.90",0.0752
17-12-2023,520,540,508,539.8,1.85,"1,43,067.00","7,57,30,166.90",0.0752
18-12-2023,540,553.1,535.5,543,0.59,"83,247.00","4,53,10,526.40",0.0752
19-12-2023,543,597.3,541,596,9.76,"2,08,301.00","11,70,10,711.30",0.0752
20-12-2023,590,613.8,581,590,-1.01,"1,46,105.00","8,62,54,114.70",0.0752
21-12-2023,590,590,575,575,-2.54,"1,19,851.00","6,93,49,384.80",0.0752
24-12-2023,575,612,565.9,585,1.74,"1,51,493.00","8,93,84,099.80",0.0752
27-12-2023,590,605,586,593.2,1.4,"1,11,493.00","6,62,21,641.90",0.0752
28-12-2023,592,606,585,604,1.82,"1,10,503.00","6,59,51,706.40",0.0752
1/1/2024,605,616,592.1,593,-1.82,"1,51,338.00","9,13,61,277.40",0.0752
2/1/2024,590,590,570,571,-3.71,"1,69,936.00","9,80,55,139.30",0.0752
3/1/2024,562.2,580,558,574,0.53,"1,31,787.00","7,44,70,441.90",0.0752
4/1/2024,574,580,561,561.4,-2.2,"1,02,157.00","5,83,92,568.50",0.0752
7/1/2024,560,560,545,545,-2.92,"1,03,065.00","5,66,26,045.30",0.0752
8/1/2024,550,574.2,550,573,5.14,"55,646.00","3,11,25,597.00",0.0752
9/1/2024,580,592,575,578.5,0.96,"99,808.00","5,84,61,122.40",0.0752
10/1/2024,590,615,583.2,586,1.3,"66,693.00","3,93,05,463.00",0.0752
11/1/2024,589,590,575.6,581,-0.85,"34,875.00","2,03,35,107.40",0.0752
14-01-2024,590,590,574,576.5,-0.77,"33,968.00","1,96,81,601.90",0.0752
16-01-2024,576.5,593,576.5,590,2.34,"47,974.00","2,80,32,704.70",0.0752
