Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate
21-05-2023,399.7,414,399.7,404.8,3.3,"43,573.00","1,77,58,873.50",0.0752
22-05-2023,397,412.5,396.9,412,1.78,"20,116.00","81,49,873.20",0.0752
23-05-2023,404,431.9,404,430,4.37,"24,766.00","1,05,16,708.20",0.0752
24-05-2023,430,438.6,422,432,0.47,"26,171.00","1,12,51,072.00",0.0752
28-05-2023,432,440,415,415,-3.94,"30,792.00","1,31,00,101.60",0.0752
30-05-2023,415,415.9,402,402.1,-3.11,"26,241.00","1,06,73,452.20",0.0752
31-05-2023,400,410,389,390.1,-2.98,"15,572.00","62,08,803.90",0.0752
01-06-2023,390.1,404.9,390,397.7,1.95,"17,526.00","69,62,964.90",0.0752
04-06-2023,395,421.9,395,414,4.1,"20,073.00","83,16,558.10",0.0752
05-06-2023,410,423.4,407.8,423.4,2.27,"34,941.00","1,44,57,402.40",0.0752
06-06-2023,415,438,410.1,433,2.27,"37,275.00","1,59,36,414.20",0.0752
07-06-2023,433,445,427,435,0.46,"40,748.00","1,78,45,098.10",0.0752
08-06-2023,435,472,430,451,3.68,"82,220.00","3,71,74,569.40",0.0752
11-06-2023,460,496,453,483,7.1,"99,353.00","4,72,30,785.80",0.0752
12-06-2023,485,492,476.5,485,0.41,"46,221.00","2,22,83,832.10",0.0752
13-06-2023,475.3,511.8,475.1,495,2.06,"88,821.00","4,40,62,062.00",0.0752
14-06-2023,494,512,488,500,1.01,"1,05,570.00","5,29,30,954.60",0.0752
15-06-2023,490,532.6,490,529,5.8,"81,479.00","4,17,78,901.00",0.0752
18-06-2023,529,560.6,527,560,5.86,"1,11,573.00","6,13,71,848.40",0.0752
19-06-2023,571.2,571.2,534.3,551,-1.61,"1,20,933.00","6,61,43,138.20",0.0752
20-06-2023,550,560,530,531,-3.63,"58,249.00","3,15,57,547.50",0.0752
21-06-2023,520.5,549,520.5,535,0.75,"61,832.00","3,32,76,175.80",0.0752
22-06-2023,540,555,530,550,2.8,"97,740.00","5,33,14,221.30",0.0752
25-06-2023,555,598.2,555,598.2,8.76,"1,69,906.00","10,00,27,792.10",0.0752
26-06-2023,610.1,619.9,581,581.1,-2.86,"97,279.00","5,80,69,152.00",0.0752
27-06-2023,581,603,570,575,-1.05,"73,392.00","4,24,08,989.90",0.0752
28-06-2023,575,602,566,588,2.26,"1,06,697.00","6,20,75,721.00",0.0752
02-07-2023,588,608,577.1,590,0.34,"1,29,138.00","7,70,55,214.70",0.0752
03-07-2023,578.3,598,574,579,-1.86,"63,654.00","3,72,28,443.70",0.0752
04-07-2023,580,585,563,575.9,-0.54,"47,284.00","2,70,23,641.50",0.0752
05-07-2023,565,580,548,554,-3.8,"63,390.00","3,54,16,677.70",0.0752
