Date,Open,High,Low,Ltp,% Change,Qty,Turnover
3/25/2011,721,725,725,725,0,13,"9,425.00"
3/29/2011,725,725,725,725,0,60,"43,500.00"
3/31/2011,725,715,715,715,0,20,"14,300.00"
4/18/2011,715,701,701,701,0,450,"315,450.00"
4/27/2011,701,701,701,701,0,30,"21,030.00"
5/2/2011,701,687,648,648,0,"3,083.00","2,024,499.00"
5/3/2011,648,648,648,648,0,30,"19,440.00"
5/5/2011,648,660,660,660,0,100,"66,000.00"
5/12/2011,660,647,640,640,0,130,"83,900.00"
5/15/2011,640,660,647,647,0,235,"154,290.00"
5/19/2011,647,635,635,635,0,15,"9,525.00"
5/24/2011,635,630,630,630,0,30,"18,900.00"
5/30/2011,630,618,606,606,0,88,"53,688.00"
6/13/2011,606,594,594,594,0,100,"59,400.00"
6/14/2011,594,583,572,572,0,60,"34,716.00"
6/15/2011,572,561,561,561,0,24,"13,464.00"
6/16/2011,561,561,558,558,0,930,"521,685.00"
6/23/2011,590,647,601,647,0,109,"68,741.00"
6/26/2011,647,659,659,659,0,59,"38,881.00"
6/29/2011,659,672,659,659,0,220,"145,240.00"
6/30/2011,659,646,640,640,0,250,"160,600.00"
7/3/2011,640,628,616,616,0,290,"179,960.00"
7/4/2011,616,605,605,605,0,143,"86,515.00"
7/6/2011,605,600,600,600,0,20,"12,000.00"
7/12/2011,600,599,577,599,0,95,"55,860.00"
7/13/2011,599,588,577,577,0,30,"17,475.00"
7/14/2011,577,566,566,566,0,30,"16,980.00"
7/18/2011,566,577,577,577,0,17,"9,809.00"
7/20/2011,577,600,588,600,0,641,"377,952.00"
7/21/2011,600,600,590,591,0,125,"74,295.00"
7/24/2011,591,585,585,585,0,23,"13,455.00"
7/25/2011,585,577,575,577,0,55,"31,675.00"
7/31/2011,577,577,577,577,0,453,"261,381.00"
8/2/2011,577,610,588,610,0,62,"37,116.00"
8/3/2011,610,601,601,601,0,125,"75,125.00"
8/8/2011,601,600,600,600,0,156,"93,600.00"
8/9/2011,600,600,595,600,0,306,"182,250.00"
8/16/2011,600,610,610,610,0,345,"210,450.00"
8/17/2011,610,610,610,610,0,30,"18,300.00"
8/23/2011,610,601,598,601,0,120,"71,865.00"
8/24/2011,601,600,600,600,0,100,"60,000.00"
8/28/2011,600,590,580,580,0,75,"43,650.00"
8/29/2011,580,570,570,570,0,"2,655.00","1,513,350.00"
8/30/2011,570,559,559,559,0,12,"6,708.00"
9/1/2011,559,570,559,570,0,375,"213,585.00"
9/4/2011,570,570,570,570,0,30,"17,100.00"
9/6/2011,570,560,560,560,0,27,"15,120.00"
9/7/2011,560,550,550,550,0,60,"33,000.00"
9/13/2011,550,550,539,539,0,147,"79,395.00"
9/18/2011,539,529,529,529,0,45,"23,805.00"
9/19/2011,529,525,525,525,0,15,"7,875.00"
9/25/2011,525,545,535,545,0,40,"21,600.00"
9/26/2011,545,535,535,535,0,42,"22,470.00"
9/29/2011,535,545,545,545,0,15,"8,175.00"
10/9/2011,545,545,545,545,0,12,"6,540.00"
10/10/2011,545,545,545,545,0,15,"8,175.00"
10/24/2011,545,555,555,555,0,30,"16,650.00"
11/2/2011,555,565,565,565,0,20,"11,300.00"
11/3/2011,565,595,576,595,0,50,"29,400.00"
11/6/2011,595,606,596,606,0,34,"20,364.00"
11/8/2011,606,615,610,615,0,225,"137,450.00"
11/9/2011,615,615,603,615,0,133,"81,555.00"
11/10/2011,615,664,620,660,0,635,"416,410.00"
11/13/2011,660,673,670,670,0,414,"278,002.00"
11/14/2011,670,657,635,635,0,224,"146,608.00"
11/15/2011,635,623,600,600,0,"4,020.00","2,412,340.00"
11/16/2011,600,610,600,600,0,788,"473,800.00"
11/17/2011,600,612,600,612,0,"2,015.00","1,209,180.00"
11/20/2011,612,600,600,600,0,840,"504,000.00"
11/21/2011,600,610,601,610,0,27,"16,362.00"
11/24/2011,610,601,590,590,0,117,"69,712.00"
11/27/2011,590,601,601,601,0,24,"14,424.00"
11/28/2011,601,602,602,602,0,50,"30,100.00"
12/6/2011,602,606,595,606,0,503,"300,538.00"
12/7/2011,606,605,600,600,0,686,"414,284.00"
12/15/2011,600,589,589,589,0,24,"14,136.00"
12/20/2011,589,590,590,590,0,24,"14,160.00"
12/27/2011,590,579,579,579,0,24,"13,896.00"
12/28/2011,579,590,590,590,0,165,"97,350.00"
12/29/2011,590,600,599,600,0,330,"197,685.00"
1/4/2012,600,589,558,558,0,"3,045.00","1,700,040.00"
1/5/2012,558,569,569,569,0,375,"213,375.00"
1/12/2012,569,615,580,615,0,250,"150,515.00"
1/16/2012,615,627,627,627,0,200,"125,400.00"
1/17/2012,627,627,615,627,0,80,"49,440.00"
1/22/2012,627,625,625,625,0,45,"28,125.00"
1/23/2012,625,627,621,621,0,525,"329,025.00"
1/26/2012,621,621,621,621,0,376,"233,496.00"
1/29/2012,621,622,620,622,0,150,"93,060.00"
1/31/2012,622,632,620,632,0,250,"156,080.00"
2/1/2012,632,635,631,631,0,560,"354,560.00"
2/2/2012,631,631,631,631,0,50,"31,550.00"
2/5/2012,631,635,632,635,0,45,"28,485.00"
2/6/2012,635,647,647,647,0,200,"129,400.00"
2/7/2012,647,640,635,640,0,"1,015.00","649,525.00"
2/8/2012,640,640,640,640,0,15,"9,600.00"
2/14/2012,640,640,635,640,0,45,"28,695.00"
2/15/2012,640,650,645,645,0,43,"27,835.00"
2/23/2012,645,641,640,641,0,138,"88,443.00"
2/26/2012,641,642,642,642,0,172,"110,424.00"
2/29/2012,642,654,654,654,0,53,"34,662.00"
3/1/2012,654,650,650,650,0,30,"19,500.00"
3/4/2012,650,650,650,650,0,108,"70,200.00"
3/5/2012,650,660,647,650,0,135,"88,230.00"
3/6/2012,650,660,650,660,0,43,"28,250.00"
3/11/2012,660,660,660,660,0,500,"330,000.00"
3/12/2012,660,659,647,659,0,28,"18,272.00"
3/13/2012,659,659,659,659,0,20,"13,180.00"
3/14/2012,659,655,655,655,0,"1,250.00","818,750.00"
3/19/2012,655,645,645,645,0,"4,395.00","2,834,775.00"
3/20/2012,645,640,640,640,0,27,"17,280.00"
3/25/2012,640,640,630,630,0,160,"101,650.00"
3/28/2012,630,640,630,630,0,"36,107.00","22,749,070.00"
4/1/2012,630,640,640,640,0,"1,000.00","640,000.00"
4/3/2012,640,640,640,640,0,175,"112,000.00"
