Date,Open,High,Low,Ltp,% Change,Qty,Turnover,Inflation Rate,Inflation Rate1
3/25/2011,721,725,725,725,0,13,"9,425.00",0.0923,0.176
3/29/2011,725,725,725,725,0,60,"43,500.00",0.0923,0.176
3/31/2011,725,715,715,715,0,20,"14,300.00",0.0923,0.176
4/18/2011,715,701,701,701,0,450,"3,15,450.00",0.0923,0.193
4/27/2011,701,701,701,701,0,30,"21,030.00",0.0923,0.193
05-02-2011,701,687,648,648,0,"3,083.00","20,24,499.00",0.0923,0.0969
05-03-2011,648,648,648,648,0,30,"19,440.00",0.0923,0.0969
05-05-2011,648,660,660,660,0,100,"66,000.00",0.0923,0.0969
05-12-2011,660,647,640,640,0,130,"83,900.00",0.0923,0.0969
5/15/2011,640,660,647,647,0,235,"1,54,290.00",0.0923,0.0969
5/19/2011,647,635,635,635,0,15,"9,525.00",0.0923,0.0969
5/24/2011,635,630,630,630,0,30,"18,900.00",0.0923,0.0969
5/30/2011,630,618,606,606,0,88,"53,688.00",0.0923,0.0969
6/13/2011,606,594,594,594,0,100,"59,400.00",0.0923,0.0883
6/14/2011,594,583,572,572,0,60,"34,716.00",0.0923,0.0883
6/15/2011,572,561,561,561,0,24,"13,464.00",0.0923,0.0883
6/16/2011,561,561,558,558,0,930,"5,21,685.00",0.0923,0.0883
6/23/2011,590,647,601,647,0,109,"68,741.00",0.0923,0.0883
6/26/2011,647,659,659,659,0,59,"38,881.00",0.0923,0.0883
6/29/2011,659,672,659,659,0,220,"1,45,240.00",0.0923,0.0883
6/30/2011,659,646,640,640,0,250,"1,60,600.00",0.0923,0.0883
07-03-2011,640,628,616,616,0,290,"1,79,960.00",0.0923,0.0958
07-04-2011,616,605,605,605,0,143,"86,515.00",0.0923,0.0958
07-06-2011,605,600,600,600,0,20,"12,000.00",0.0923,0.0958
07-12-2011,600,599,577,599,0,95,"55,860.00",0.0923,0.0958
7/13/2011,599,588,577,577,0,30,"17,475.00",0.0923,0.0958
7/14/2011,577,566,566,566,0,30,"16,980.00",0.0923,0.0958
7/18/2011,566,577,577,577,0,17,"9,809.00",0.0923,0.0958
7/20/2011,577,600,588,600,0,641,"3,77,952.00",0.0923,0.0958
7/21/2011,600,600,590,591,0,125,"74,295.00",0.0923,0.0958
7/24/2011,591,585,585,585,0,23,"13,455.00",0.0923,0.0958
7/25/2011,585,577,575,577,0,55,"31,675.00",0.0923,0.0958
7/31/2011,577,577,577,577,0,453,"2,61,381.00",0.0923,0.0958
08-02-2011,577,610,588,610,0,62,"37,116.00",0.0923,0.0995
08-03-2011,610,601,601,601,0,125,"75,125.00",0.0923,0.0995
08-08-2011,601,600,600,600,0,156,"93,600.00",0.0923,0.0995
08-09-2011,600,600,595,600,0,306,"1,82,250.00",0.0923,0.0995
8/16/2011,600,610,610,610,0,345,"2,10,450.00",0.0923,0.0995
8/17/2011,610,610,610,610,0,30,"18,300.00",0.0923,0.0995
8/23/2011,610,601,598,601,0,120,"71,865.00",0.0923,0.0995
8/24/2011,601,600,600,600,0,100,"60,000.00",0.0923,0.0995
8/28/2011,600,590,580,580,0,75,"43,650.00",0.0923,0.0995
8/29/2011,580,570,570,570,0,"2,655.00","15,13,350.00",0.0923,0.0995
8/30/2011,570,559,559,559,0,12,"6,708.00",0.0923,0.0995
09-01-2011,559,570,559,570,0,375,"2,13,585.00",0.0923,0.0851
09-04-2011,570,570,570,570,0,30,"17,100.00",0.0923,0.0851
09-06-2011,570,560,560,560,0,27,"15,120.00",0.0923,0.0851
09-07-2011,560,550,550,550,0,60,"33,000.00",0.0923,0.0851
9/13/2011,550,550,539,539,0,147,"79,395.00",0.0923,0.0851
9/18/2011,539,529,529,529,0,45,"23,805.00",0.0923,0.0851
9/19/2011,529,525,525,525,0,15,"7,875.00",0.0923,0.0851
9/25/2011,525,545,535,545,0,40,"21,600.00",0.0923,0.0851
9/26/2011,545,535,535,535,0,42,"22,470.00",0.0923,0.0851
9/29/2011,535,545,545,545,0,15,"8,175.00",0.0923,0.0851
10-09-2011,545,545,545,545,0,12,"6,540.00",0.0923,0.0892
10-10-2011,545,545,545,545,0,15,"8,175.00",0.0923,0.0892
10/24/2011,545,555,555,555,0,30,"16,650.00",0.0923,0.0892
11-02-2011,555,565,565,565,0,20,"11,300.00",0.0923,0.0843
11-03-2011,565,595,576,595,0,50,"29,400.00",0.0923,0.0843
11-06-2011,595,606,596,606,0,34,"20,364.00",0.0923,0.0843
11-08-2011,606,615,610,615,0,225,"1,37,450.00",0.0923,0.0843
11-09-2011,615,615,603,615,0,133,"81,555.00",0.0923,0.0843
11-10-2011,615,664,620,660,0,635,"4,16,410.00",0.0923,0.0843
11/13/2011,660,673,670,670,0,414,"2,78,002.00",0.0923,0.0843
11/14/2011,670,657,635,635,0,224,"1,46,608.00",0.0923,0.0843
11/15/2011,635,623,600,600,0,"4,020.00","24,12,340.00",0.0923,0.0843
11/16/2011,600,610,600,600,0,788,"4,73,800.00",0.0923,0.0843
11/17/2011,600,612,600,612,0,"2,015.00","12,09,180.00",0.0923,0.0843
11/20/2011,612,600,600,600,0,840,"5,04,000.00",0.0923,0.0843
11/21/2011,600,610,601,610,0,27,"16,362.00",0.0923,0.0843
11/24/2011,610,601,590,590,0,117,"69,712.00",0.0923,0.0843
11/27/2011,590,601,601,601,0,24,"14,424.00",0.0923,0.0843
11/28/2011,601,602,602,602,0,50,"30,100.00",0.0923,0.0843
12-06-2011,602,606,595,606,0,503,"3,00,538.00",0.0923,0.0752
12-07-2011,606,605,600,600,0,686,"4,14,284.00",0.0923,0.0752
12/15/2011,600,589,589,589,0,24,"14,136.00",0.0923,0.0752
12/20/2011,589,590,590,590,0,24,"14,160.00",0.0923,0.0752
12/27/2011,590,579,579,579,0,24,"13,896.00",0.0923,0.0752
12/28/2011,579,590,590,590,0,165,"97,350.00",0.0923,0.0752
12/29/2011,590,600,599,600,0,330,"1,97,685.00",0.0923,0.0752
01-04-2012,600,589,558,558,0,"3,045.00","17,00,040.00",0.0946,0.0677
01-05-2012,558,569,569,569,0,375,"2,13,375.00",0.0946,0.0677
01-12-2012,569,615,580,615,0,250,"1,50,515.00",0.0946,0.0677
1/16/2012,615,627,627,627,0,200,"1,25,400.00",0.0946,0.0677
1/17/2012,627,627,615,627,0,80,"49,440.00",0.0946,0.0677
1/22/2012,627,625,625,625,0,45,"28,125.00",0.0946,0.0677
1/23/2012,625,627,621,621,0,525,"3,29,025.00",0.0946,0.0677
1/26/2012,621,621,621,621,0,376,"2,33,496.00",0.0946,0.0677
1/29/2012,621,622,620,622,0,150,"93,060.00",0.0946,0.0677
1/31/2012,622,632,620,632,0,250,"1,56,080.00",0.0946,0.0677
02-01-2012,632,635,631,631,0,560,"3,54,560.00",0.0946,0.0706
02-02-2012,631,631,631,631,0,50,"31,550.00",0.0946,0.0706
02-05-2012,631,635,632,635,0,45,"28,485.00",0.0946,0.0706
02-06-2012,635,647,647,647,0,200,"1,29,400.00",0.0946,0.0706
02-07-2012,647,640,635,640,0,"1,015.00","6,49,525.00",0.0946,0.0706
02-08-2012,640,640,640,640,0,15,"9,600.00",0.0946,0.0706
2/14/2012,640,640,635,640,0,45,"28,695.00",0.0946,0.0706
2/15/2012,640,650,645,645,0,43,"27,835.00",0.0946,0.0706
2/23/2012,645,641,640,641,0,138,"88,443.00",0.0946,0.0706
2/26/2012,641,642,642,642,0,172,"1,10,424.00",0.0946,0.0706
2/29/2012,642,654,654,654,0,53,"34,662.00",0.0946,0.0706
03-01-2012,654,650,650,650,0,30,"19,500.00",0.0946,0.0705
03-04-2012,650,650,650,650,0,108,"70,200.00",0.0946,0.0705
03-05-2012,650,660,647,650,0,135,"88,230.00",0.0946,0.0705
03-06-2012,650,660,650,660,0,43,"28,250.00",0.0946,0.0705
03-11-2012,660,660,660,660,0,500,"3,30,000.00",0.0946,0.0705
03-12-2012,660,659,647,659,0,28,"18,272.00",0.0946,0.0705
3/13/2012,659,659,659,659,0,20,"13,180.00",0.0946,0.0705
3/14/2012,659,655,655,655,0,"1,250.00","8,18,750.00",0.0946,0.0705
3/19/2012,655,645,645,645,0,"4,395.00","28,34,775.00",0.0946,0.0705
3/20/2012,645,640,640,640,0,27,"17,280.00",0.0946,0.0705
3/25/2012,640,640,630,630,0,160,"1,01,650.00",0.0946,0.0705
3/28/2012,630,640,630,630,0,"36,107.00","2,27,49,070.00",0.0946,0.0705
04-01-2012,630,640,640,640,0,"1,000.00","6,40,000.00",0.0946,0.0751
04-03-2012,640,640,640,640,0,175,"1,12,000.00",0.0946,0.0751
04-04-2012,640,640,630,630,0,25,"15,850.00",0.0946,0.0751
04-12-2012,630,642,642,642,0,20,"12,840.00",0.0946,0.0751
4/15/2012,642,654,654,654,0,10,"6,540.00",0.0946,0.0751
4/16/2012,654,693,667,693,0,40,"27,200.00",0.0946,0.0751
4/17/2012,693,706,706,706,0,13,"9,178.00",0.0946,0.0751
4/18/2012,706,776,719,776,0,95,"70,270.00",0.0946,0.0751
4/19/2012,776,837,791,829,0,894,"7,39,516.00",0.0946,0.0751
4/22/2012,829,820,820,820,0,10,"8,200.00",0.0946,0.0751
4/24/2012,820,846,815,830,0,"1,776.00","14,73,540.00",0.0946,0.0751
4/25/2012,830,835,830,835,0,"1,500.00","12,50,000.00",0.0946,0.0751
4/26/2012,835,846,814,820,0,"6,259.00","51,92,836.00",0.0946,0.0751
4/29/2012,820,861,820,861,0,"3,980.00","32,98,885.00",0.0946,0.0751
05-03-2012,861,861,861,861,0,23,"19,803.00",0.0946,0.0874
05-08-2012,861,861,861,861,0,305,"2,62,605.00",0.0946,0.0874
05-09-2012,861,895,878,895,0,60,"53,160.00",0.0946,0.0874
5/16/2012,895,928,911,928,0,80,"73,150.00",0.0946,0.0874
5/22/2012,928,910,910,910,0,10,"9,100.00",0.0946,0.0874
5/24/2012,910,945,892,945,0,262,"2,38,330.00",0.0946,0.0874
5/27/2012,945,963,945,945,0,20,"19,080.00",0.0946,0.0874
06-10-2012,945,927,927,927,0,15,"13,905.00",0.0946,0.0995
06-11-2012,927,909,909,909,0,30,"27,270.00",0.0946,0.0995
06-12-2012,909,927,927,927,0,10,"9,270.00",0.0946,0.0995
6/19/2012,927,909,866,899,0,155,"1,38,245.00",0.0946,0.0995
07-02-2012,899,899,899,899,0,60,"53,940.00",0.0946,0.1148
07-09-2012,899,882,810,810,0,260,"2,18,640.00",0.0946,0.1148
07-10-2012,810,794,756,767,0,672,"5,15,356.00",0.0946,0.1148
07-11-2012,767,785,774,780,0,"1,195.00","9,36,740.00",0.0946,0.1148
07-12-2012,780,785,766,785,0,185,"1,43,490.00",0.0946,0.1148
7/15/2012,785,785,785,785,0,500,"3,92,500.00",0.0946,0.1148
7/17/2012,785,804,785,795,0,"1,821.00","14,46,827.00",0.0946,0.1148
7/18/2012,795,803,795,803,0,"2,060.00","16,45,892.00",0.0946,0.1148
7/19/2012,803,815,800,815,0,"1,404.00","11,34,710.00",0.0946,0.1148
7/22/2012,815,846,804,846,0,"2,531.00","20,54,815.00",0.0946,0.1148
7/23/2012,846,850,830,850,0,406,"3,42,880.00",0.0946,0.1148
7/24/2012,850,845,833,845,0,"1,376.00","11,54,268.00",0.0946,0.1148
7/25/2012,845,840,840,840,0,823,"6,91,320.00",0.0946,0.1148
7/26/2012,840,841,841,841,0,30,"25,230.00",0.0946,0.1148
7/30/2012,841,870,848,860,0,"2,877.00","24,49,689.00",0.0946,0.1148
7/31/2012,860,860,860,860,0,24,"20,640.00",0.0946,0.1148
08-01-2012,860,865,865,865,0,60,"51,900.00",0.0946,0.1185
08-05-2012,865,865,849,849,0,582,"5,02,118.00",0.0946,0.1185
08-06-2012,849,865,864,864,0,299,"2,58,506.00",0.0946,0.1185
08-07-2012,864,865,865,865,0,515,"4,45,475.00",0.0946,0.1185
08-12-2012,865,881,865,871,0,699,"6,07,959.00",0.0946,0.1185
8/13/2012,871,879,865,879,0,988,"8,55,154.00",0.0946,0.1185
8/14/2012,879,880,866,875,0,"1,472.00","12,83,670.00",0.0946,0.1185
8/15/2012,875,878,870,870,0,814,"7,09,765.00",0.0946,0.1185
8/16/2012,870,885,870,885,0,712,"6,20,484.00",0.0946,0.1185
8/19/2012,885,885,875,876,0,928,"8,13,123.00",0.0946,0.1185
8/21/2012,876,875,870,870,0,"2,577.00","22,51,375.00",0.0946,0.1185
8/22/2012,870,870,865,870,0,72,"62,580.00",0.0946,0.1185
8/23/2012,870,890,885,890,0,132,"1,17,420.00",0.0946,0.1185
8/27/2012,890,890,875,875,0,"3,835.00","33,58,125.00",0.0946,0.1185
8/28/2012,875,880,874,880,0,"1,115.00","9,80,525.00",0.0946,0.1185
09-05-2012,880,914,897,914,0,536,"4,82,898.00",0.0946,0.1124
09-06-2012,914,"1,002.00",932,"1,002.00",0,"4,495.00","44,86,960.00",0.0946,0.1124
