SNn,Name,Symbol
1,Nabil Bank Limited,NABIL
2,Nepal Investment Mega Bank Limited,NIMB
3,Standard Chartered Bank Limited,SCB
4,Himalayan Bank Limited,HBL
5,Nepal SBI Bank Limited,SBI
6,Everest Bank Limited,EBL
7,NIC Asia Bank Ltd.,NICA
8,Machhapuchhre Bank Limited,MBL
9,Laxmi Sunrise Bank Limited,LSL
10,Kumari Bank Limited,KBL
11,Siddhartha Bank Limited,SBL
12,Soaltee Hotel Limited,SHL
13,Taragaon Regency Hotel Limited,TRH
14,Oriental Hotels Limited,OHL
15,National Hydro Power Company Limited,NHPC
16,Butwal Power Company Limited,BPCL
17,Chilime Hydropower Company Limited,CHCL
18,Salt Trading Corporation,STC
19,Bishal Bazar Company Limited,BBC
20,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL
21,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL
22,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL
23,Sanima Bank Limited,SANIMA
24,Narayani Development Bank Limited,NABBC
25,Nepal Insurance Co. Ltd.,NICL
26,Rastriya Beema Company Limited,RBCL
27,National Life Insurance Co. Ltd.,NLICL
28,Himalayan Everest Insurance Limited,HEI
29,United Ajod Insurance Limited,UAIL
30,Siddhartha Premier Insurance Limited,SPIL
31,Neco Insurance Limited,NIL
32,Prabhu Insurance Ltd.,PRIN
33,Sagarmatha Lumbini Insurance Co. Limited,SALICO
34,IGI Prudential insurance Limited,IGI
35,Nepal Life Insurance Co. Ltd.,NLIC
36,Life Insurance Corporation (Nepal) Limited,LICN
37,Shikhar Insurance Co. Ltd.,SICL
38,Nepal Finance Ltd.,NFS
39,Bottlers Nepal (Balaju) Limited,BNL
40,Nepal Lube Oil Limited,NLO
41,Gurkhas Finance Ltd.,GUFL
42,Citizen Investment Trust,CIT
43,Bottlers Nepal (Terai) Limited,BNT
44,Unilever Nepal Limited,UNL
45,Best Finance Company Ltd.,BFC
46,Goodwill Finance Limited,GFCL
47,Himalayan Distillery Limited,HDL
48,Pokhara Finance Ltd.,PFL
49,NMB Bank Limited,NMB
